Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,"Dist(4, 10)","Dist(3, 9)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
41,-0.26869,-0.19954,-0.1464,-0.17591,-0.28226,-0.09763,-0.73902,-0.51979,0.51161,1.04648,0.54066,0.88228,-1.22239,-0.65801,1.7855,-1.25568,-0.8772,-3.4147,-3.7954,5.1803,1.92791438,1.460564536,1.905841962,1.641870612,406.548,158.208,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,97.5,2.714977244
67,-0.33379,-0.17099,-0.20921,-0.19323,-0.30609,0.37306,-0.72611,-0.59947,0.67506,1.07952,0.53317,0.88858,-1.27275,-0.88427,1.80563,-1.2773,-1.0383,-4.447,-2.6198,5.2647,1.952138221,1.441157899,1.91893281,1.619220691,316.004,124.534,2.52,3.55,6.48,4.09,2.09,4.79,8.31,5.41,13,-1.408754725
35,-0.23515,-0.25446,0.09205,-0.24408,-0.24322,-0.02906,-0.70219,-0.30035,-0.13612,1.01651,0.53397,0.87691,-1.26059,0.22817,1.7187,-1.27136,-2.3491,-4.9176,-1.3619,5.6175,1.942147881,1.426956551,1.916945099,1.607185488,292.485,106.352,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,87,1.408754725
21,-0.25762,0.00989,-0.17084,-0.18099,-0.28483,-0.19915,-0.74466,-0.49547,0.17839,1.0578,0.53934,0.8866,-1.23879,-0.34923,1.80246,-1.28197,3.789,1.058,-3.3716,5.1811,1.919347368,1.452810109,1.912221124,1.699058991,328.939,118.452,1.68,2.76,5.1,2.16,1.75,4.35,6.34,2.25,88,1.476541977
22,-0.34539,0.03646,-0.19949,-0.17401,-0.327,0.37215,-0.74543,-0.50813,0.17474,1.06256,0.54071,0.8884,-1.23657,-0.37423,1.80799,-1.28317,2.3594,2.014,-3.8456,4.9408,1.920417649,1.445741175,1.911164219,1.684117692,351.533,152.035,1.68,2.76,5.09,2.16,1.77,4.34,8.42,2.26,90,1.628310181
23,0.33952,-0.32592,-0.14373,-0.27556,0.30135,-0.34378,-0.74146,-0.49168,0.19445,1.06608,0.54076,0.88345,-1.34164,-0.33818,1.80754,-1.28534,4.318,-0.2022,-3.4339,5.5206,1.934014122,1.454477126,1.917117992,1.68688313,349.687,134.278,1.68,2.76,5.1,2.16,1.89,4.62,7.11,5.75,73.5,0.756001668
24a,0.26401,-0.28244,-0.17864,-0.21586,-0.30374,0.31816,-0.73825,-0.50149,0.1883,1.06096,0.54069,0.88295,-1.27682,-0.36694,1.79921,-1.28634,3.3155,-0.6407,-4.3299,5.4909,1.923868752,1.447662689,1.915801847,1.682380978,355.339,158.814,1.68,2.76,5.1,2.16,1.76,5.42,8.27,4.3,86,1.345267646
24b,-0.32954,-0.19483,-0.18168,-0.24884,0.24064,0.2988,-0.74487,-0.5007,0.19595,1.07119,0.53803,0.88123,-1.32003,-0.37763,1.81606,-1.27953,4.0557,0.4861,-3.7478,5.5435,1.94392359,1.445326887,1.917898237,1.714075217,352.325,156.563,1.68,2.76,5.1,2.16,1.89,5.31,8.39,4.46,62,0.362792392
42,-0.3521,-0.17212,-0.17508,-0.1808,-0.31595,0.36335,-0.74068,-0.51339,0.13944,1.05699,0.5393,0.88242,-1.23779,-0.31452,1.79767,-1.2663,1.1462,-0.16,-3.309,3.5055,1.937495402,1.44755585,1.90792188,1.688550343,356.614,174.415,1.69,3.77,8.2,4.32,1.69,3.2,7,4.06,86,1.345267646
43,-0.25433,-0.22037,-0.12945,-0.21157,-0.26362,-0.22594,-0.71678,-0.33003,0.21367,1.04063,0.53171,0.87707,-1.2522,-0.34312,1.75741,-1.26331,-1.9427,-8.9995,-1.1521,9.2787,1.951796187,1.46303621,1.91807931,1.617115558,298.708,109.971,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,73,0.73709082
27,-0.25874,-0.19379,-0.13546,-0.18744,-0.25864,-0.21707,-0.7169,-0.50703,0.29322,1.04113,0.53215,0.88857,-1.22857,-0.42868,1.75803,-1.27828,-1.0543,-1.9357,-3.539,4.1693,1.937270636,1.459073191,1.902846427,1.689653199,287.962,107.42,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,85,1.285471038
34,-0.32815,-0.23998,0.08106,-0.24187,-0.28276,0.33434,-0.70629,-0.30018,-0.13378,1.01491,0.5329,0.87423,-1.25678,0.21484,1.7212,-1.27067,-3.9789,-4.7192,-1.8794,6.4525,1.9438318,1.425671596,1.915629234,1.671985697,297.218,121.531,1.69,3.08,5.44,1.86,1.78,3.16,8.34,4.01,86,1.345267646
40,-0.23781,-0.0601,0.10753,-0.24085,-0.2499,-0.22591,-0.70494,-0.29941,-0.14015,1.01487,0.53397,0.87679,-1.25572,0.24768,1.71981,-1.27117,-2.3027,-5.2694,-1.3041,5.8966,1.930667417,1.438144605,1.917842295,1.621164834,291.614,97.8901,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,90,1.628310181
36,-0.21772,-0.25655,0.1162,-0.25112,-0.21611,-0.17468,-0.70567,-0.29645,-0.14263,1.01181,0.53165,0.8735,-1.26293,0.25883,1.71748,-1.266,-1.9318,-7.9394,-1.682,8.3424,1.946081183,1.424938428,1.914481974,1.648903706,291.128,103.535,1.69,3.08,5.44,1.88,1.87,3.16,7.56,4.01,86,1.345267646
32,-0.23469,-0.19752,-0.17266,-0.19807,-0.23427,-0.14828,-0.71487,-0.56758,0.67616,1.03651,0.53038,0.87328,-1.23458,-0.84882,1.75138,-1.26063,-0.948,-8.8832,-1.4437,9.0496,1.961061729,1.453430115,1.920128581,1.653555263,288.209,91.7144,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,78,0.937954847
66,0.27037,-0.26961,-0.16911,-0.20655,-0.28273,0.29493,-0.72816,-0.59463,0.67885,1.08677,0.53139,0.88816,-1.29332,-0.84796,1.81493,-1.27566,-1.3463,-4.9336,-4.2219,6.6315,1.951652547,1.445294768,1.904080254,1.692824185,329.353,115.833,2.52,3.54,6.48,4.09,1.78,3.19,8.38,4.05,22,-0.937954847
