Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_13,NPA_ConnectMetal,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_13,diff_NBO_4_ConnectMetal,dip_x_1,dip_y_1,dip_z_1,Total_1,-4-10-,"Dist(4, 10)","Dist(3, 9)","Dist(4, 13)","Dist(4, ConnectMetal)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
42,-0.29416,-0.15544,-0.14859,-0.1394,-0.26081,0.31378,0.10727,0.2392,-0.42466,-0.42466,-0.3786,-0.25586,0.28526,0.28526,-2.1782,0.6829,-7.00E-04,2.2827,3239.9896,1.081534102,1.466352053,2.870636563,2.870636563,188.614,193.008,1.69,3.77,8.2,4.32,1.69,3.2,7,4.06,86,1.345267646
43,-0.20897,-0.19488,-0.06048,-0.18464,-0.20682,-0.21735,0.12288,0.23001,-0.28225,-0.28225,-0.41465,-0.18336,0.09761,0.09761,-1.1433,-3.2544,-1.1425,3.6337,3230.875,1.081804637,1.470278396,2.859397363,2.859397363,138.226,108.992,1.69,3.73,6.49,4.07,1.7,3.14,6.35,4.1,73,0.73709082
27,-0.12747,-0.04747,-0.07897,-0.04095,-0.1265,-0.05152,0.26638,0.11313,-0.23365,-0.23365,-0.15408,-0.34535,0.1927,0.1927,-0.9827,-4.8054,0.001,4.9048,3244.4777,1.080414816,1.445107636,2.80021197,2.80021197,141.558,143.547,1.69,3.23,6.18,3.88,1.69,3.18,6.35,4.06,85,1.285471038
34,-0.23731,-0.20787,0.10398,-0.18881,-0.29048,0.28706,-0.16139,0.24301,-0.26668,-0.26668,-0.43182,0.26537,0.07787,0.07787,-0.4141,1.383,-0.7692,1.6357,3238.7063,1.080441974,1.416955691,2.824554279,2.824554279,134.423,111.308,1.69,3.08,5.44,1.86,1.78,3.16,8.34,4.01,86,1.345267646
40,-0.19727,-0.03098,0.12913,-0.19525,-0.20781,-0.20571,-0.17786,0.23664,-0.26225,-0.26225,-0.43189,0.30699,0.067,0.067,-1.6704,0.6558,-1.262,2.1939,3242.2633,1.081000261,1.421722608,2.863878046,2.863878046,125.019,80.5258,1.69,3.07,5.45,1.87,1.71,4.31,6.27,2.18,90,1.628310181
36,-0.16586,-0.22889,0.15908,-0.21218,-0.16389,-0.16534,-0.17244,0.25136,-0.26286,-0.26286,-0.46354,0.33152,0.05068,0.05068,-1.672,-2.8081,-0.4402,3.2977,3255.0707,1.079520314,1.411142584,2.786969988,2.786969988,129.469,105.193,1.69,3.08,5.44,1.88,1.87,3.16,7.56,4.01,86,1.345267646
32,-0.18573,-0.17119,-0.10144,-0.15808,-0.18329,-0.13747,0.52493,0.24356,-0.46067,-0.46067,-0.40164,-0.62637,0.30259,0.30259,-1.069,-3.847,0.0033,3.9928,3238.7619,1.081437253,1.472479367,2.891987381,2.891987381,124.41,89.3871,1.88,2.73,5.11,2.21,2.1,3.18,7.65,4.07,78,0.937954847
67,-0.25649,-0.15263,-0.16018,-0.13459,-0.30959,0.3112,0.54031,0.23682,-0.48844,-0.48844,-0.37141,-0.70049,0.35385,0.35385,0.4339,0.2821,-0.013,0.5176,3224.9324,1.082091846,1.467078009,2.91019514,2.91019514,157.123,109.979,2.52,3.55,6.48,4.09,2.09,4.79,8.31,5.41,13,-1.408754725
14,-0.23118,-0.16989,-0.11801,-0.15633,-0.22574,-0.03965,0.10992,0.23945,-0.39278,-0.39278,-0.39578,-0.22793,0.23645,0.23645,-1.1828,-1.8589,-0.0023,2.2033,3219.9466,1.082024576,1.473286832,2.879351129,2.879351129,117.676,105.802,1.68,2.76,5.09,2.15,1.77,3.18,7.77,4.09,84.5,1.256799149
15,-0.23661,-0.16896,-0.11547,-0.1562,-0.23131,-0.08446,0.10951,0.24004,-0.39151,-0.39151,-0.39624,-0.22498,0.23531,0.23531,-1.1746,-1.9822,-1.00E-04,2.3041,3220.8767,1.082063509,1.473623381,2.878101514,2.878101514,126.349,116.241,1.68,2.76,5.09,2.15,1.92,3.18,8.09,4.08,84.5,1.256799149
