Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_4_31,dip_x_1,dip_y_1,dip_z_1,Total_1,-30-31-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 30)","Dist(4, 34)","Dist(31, 36)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
37,-0.19428,-0.25162,0.13113,-0.29751,-0.24,-0.18849,-0.14972,1.01003,-0.7589,0.55599,-0.31264,-1.30754,0.28085,-0.8535,-2.0343,-5.7455,1.2864,6.2292,3434.5291,1.945779815,1.4204685,1.968697867,2.719165118,1.707587347,278.721,110.082,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
38a,-0.26649,-0.17828,-0.18792,-0.23175,-0.31222,0.18316,0.18578,1.04597,-0.77063,0.55632,-0.3104,-1.27772,-0.3737,-0.78807,-1.3884,-2.4264,1.892,3.3756,3433.4193,1.938823004,1.447684395,1.969734903,2.670042582,1.702764544,364.31,230.217,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.20432,-0.2492,0.11666,-0.29228,-0.24936,-0.12042,-0.14612,1.01197,-0.75939,0.55682,-0.31248,-1.30425,0.26278,-0.8491,-1.2117,-7.0854,1.4462,7.3323,3428.7649,1.941607367,1.421703545,1.967714377,2.70768832,1.70413948,365.82,220.955,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
39,-0.22505,-0.24593,0.09975,-0.30651,-0.28622,-0.24406,-0.14661,1.05843,-0.78347,0.55449,-0.30667,-1.36494,0.24636,-0.861,3.6339,3.2351,1.108,4.9899,3289.1323,1.949858291,1.422219244,1.969951897,2.498212169,1.631040606,422.462,196.177,2.21,6.1,8.45,5.05,1.7,3.15,6.27,4.01,69,0.59294913
46,-0.23483,-0.20989,-0.12785,-0.26892,-0.29208,-0.23682,0.11441,1.05014,-0.76923,0.54939,-0.30453,-1.31906,-0.24226,-0.81831,-8.00E-04,-0.6066,1.6348,1.7437,3348.3655,1.950598382,1.465000949,1.972344714,2.609020083,1.67414428,364.002,162.495,2.07,7.35,9.23,2.17,1.69,3.19,6.34,4.05,42,-0.239199582
41,-0.24731,-0.19382,-0.15515,-0.24441,-0.31666,-0.12888,0.50614,1.04806,-0.76193,0.54807,-0.30734,-1.29247,-0.66129,-0.79248,-0.0589,-4.3958,1.5305,4.655,3395.9408,1.959815168,1.460912712,1.97813878,2.573675167,1.714113784,392.82,168.209,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,97.5,2.714977244
67,-0.32947,-0.16825,-0.21804,-0.24438,-0.33907,0.36833,0.67733,1.08059,-0.78128,0.54693,-0.30543,-1.32497,-0.89537,-0.79131,-0.4872,-1.3243,2.0189,2.4632,3285.2665,1.962179752,1.446603713,1.97765342,2.509835194,1.648882961,301.597,115.17,2.52,3.55,6.48,4.09,2.09,4.79,8.31,5.41,13,-1.408754725
35,-0.22408,-0.24205,0.09842,-0.28804,-0.27901,-0.04993,-0.14409,1.01323,-0.75994,0.5587,-0.3123,-1.30127,0.24251,-0.84674,-0.9603,-2.0512,1.1267,2.5296,3432.6438,1.945740545,1.424207767,1.965355719,2.694664446,1.703180033,275.773,98.06,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,87,1.408754725
21,-0.25346,0.01328,-0.17082,-0.23186,-0.29501,-0.22438,0.18568,1.04282,-0.76844,0.56066,-0.30916,-1.27468,-0.3565,-0.79252,-0.7527,-0.6826,1.3865,1.7189,3484.0225,1.939527343,1.452278989,1.970296168,2.878430794,1.725142412,316.263,119.497,1.68,2.76,5.1,2.16,1.75,4.35,6.34,2.25,88,1.476541977
22,-0.34203,0.03772,-0.20659,-0.22532,-0.3446,0.36658,0.18127,1.04885,-0.76901,0.55914,-0.30927,-1.27417,-0.38786,-0.78446,-1.6736,-0.4011,1.3498,2.1872,3478.7618,1.941900162,1.443167553,1.969499533,2.679454606,1.72266231,340.016,159.732,1.68,2.76,5.09,2.16,1.77,4.34,8.42,2.26,90,1.628310181
