Name,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_30,NPA_31,NPA_32,diff_NBO_4_10,diff_NBO_3_9,diff_NBO_10_8,diff_NBO_10_7,diff_NBO_32_30,dip_x_1,dip_y_1,dip_z_1,Total_1,-32-30-,"Dist(4, 10)","Dist(3, 9)","Dist(10, 8)","Dist(10, 7)","Dist(32, 30)",Iso.Polar,Aniso.Polar,B1_3_9,B5_3_9,L_3_9,loc.B5_3_9,B1_9_3,B5_9_3,L_9_3,loc.B5_9_3,Yield,ddg
30,-0.22743,-0.19953,-0.14863,-0.3103,-0.27252,-0.20656,-0.63035,-0.523,0.06651,0.98651,0.54168,0.91927,-0.68496,-1.29681,-0.21514,1.50951,1.61686,-1.22664,0.3181,-1.4864,1.7434,2.313,3531.7896,1.956824756,1.459368276,1.994924517,1.970749287,0.985061421,259.732,89.2024,1.69,3.16,5.81,2.4,1.69,3.2,6.34,4.05,86.5,1.376514935
33,-0.21525,-0.24637,0.11119,-0.35556,-0.26104,-0.22941,-0.6305,-0.33099,-0.15219,0.96594,0.54105,0.91979,-0.68613,-1.3215,0.26338,1.29693,1.59644,-1.22718,-0.7,-1.3555,1.5754,2.193,3528.5646,1.953174244,1.423935564,1.976872102,1.976857512,0.985174358,248.161,80.9875,1.69,3.08,5.44,1.87,1.7,3.16,6.27,4.01,85,1.285471038
37,-0.18575,-0.2472,0.13457,-0.35244,-0.2221,-0.16529,-0.63021,-0.3275,-0.15659,0.96198,0.53865,0.92033,-0.6851,-1.31442,0.29116,1.28948,1.59219,-1.22375,-1.44,-5.2325,1.536,5.6402,3552.3532,1.953304284,1.420191318,1.978672009,1.977897515,0.983988265,265.435,101.135,1.69,3.08,5.44,1.88,1.7,3.15,7.7,4.01,86.5,1.376514935
38a,-0.26025,-0.17344,-0.18198,-0.28978,-0.29316,0.20577,-0.63626,-0.49762,0.18133,1.00063,0.54215,0.91827,-0.68365,-1.29041,-0.36331,1.49825,1.63689,-1.2258,-0.8891,-2.1095,2.0519,3.0742,3535.5222,1.946235818,1.448416392,2.003123732,1.974686988,0.985018406,351.897,238.29,1.68,2.76,5.09,2.16,1.86,3.17,9.71,4.09,78.5,0.95972715
38b,-0.19535,-0.24449,0.12079,-0.34731,-0.23246,-0.09645,-0.63,-0.32825,-0.15257,0.96436,0.54107,0.91939,-0.68611,-1.31167,0.27336,1.29261,1.59436,-1.22718,-0.4243,-6.9823,1.5828,7.172,3527.1407,1.948963895,1.42134812,1.97853208,1.976806127,0.985256037,352.457,221.933,1.69,3.08,5.44,1.87,1.75,3.15,9.31,4.01,78,0.937954847
39,-0.21508,-0.24575,0.11166,-0.36656,-0.26137,-0.23119,-0.64166,-0.33996,-0.14735,1.00388,0.54306,0.9177,-0.6831,-1.37044,0.25901,1.34384,1.64554,-1.22616,4.1359,3.7894,0.8691,5.6764,3513.4637,1.951690039,1.421133879,1.999528019,1.987893241,0.985991987,410.735,207.094,2.21,6.1,8.45,5.05,1.7,3.15,6.27,4.01,69,0.59294913
46,-0.2254,-0.20954,-0.11334,-0.33023,-0.27571,-0.22229,-0.63532,-0.53877,0.1107,0.99495,0.54563,0.91392,-0.68558,-1.32518,-0.22404,1.53372,1.63027,-1.23121,0.7475,0.5808,1.9677,2.1835,3481.171,1.962518319,1.465328819,1.966730527,1.984697914,0.987588375,352.821,150.316,2.07,7.35,9.23,2.17,1.69,3.19,6.34,4.05,42,-0.239199582
41,-0.24139,-0.1902,-0.15504,-0.30914,-0.27658,-0.11273,-0.62849,-0.54908,0.49082,0.99509,0.53966,0.91966,-0.68568,-1.30423,-0.64586,1.54417,1.62358,-1.22534,0.6941,-4.414,1.4293,4.6913,3541.7369,1.972305583,1.463851874,1.958875925,1.979724515,0.984527235,380.305,160.204,2.13,7.2,7.88,0.77,1.81,3.25,8.08,4.01,97.5,2.714977244
67,-0.32893,-0.1541,-0.2034,-0.27174,-0.35693,0.38158,-0.63302,-0.60005,0.67434,1.03051,0.5428,0.914,-0.68808,-1.30225,-0.87774,1.63056,1.66353,-1.23088,-0.0573,-1.1024,1.8376,2.1436,3492.999,1.972866131,1.44595919,2.016169853,1.973195059,0.987075882,288.219,105.227,2.52,3.55,6.48,4.09,2.09,4.79,8.31,5.41,13,-1.408754725
35,-0.21231,-0.23908,0.10244,-0.34561,-0.26075,-0.02176,-0.6304,-0.33157,-0.14996,0.96739,0.54205,0.91957,-0.68683,-1.313,0.2524,1.29896,1.59779,-1.22888,-0.5114,-1.4716,1.5523,2.1993,3521.6322,1.952400882,1.42378465,1.976976657,1.976448288,0.985566527,262.075,91.2563,1.69,3.08,5.44,1.87,1.76,3.16,7.22,4.01,87,1.408754725
